cd /home/wu.qife/CLIP/Experiments
CUDA_VISIBLE_DEVICES=0 python distill_train.py -a 0.1 -t 4 -e 160 -p ./ckpt_sgd_vitl14_1.pth --teacher ViT-L/14 --mi 60 90 120 150 --project_name vitl14_1 --lr 5e-6

[112552 60316 2022/05/12-11:25:52] Warning! Git not found under this project. Highly recommended to use Git to manage code.
('alpha': 0.1) ('batch_size': 256) ('cache_ignore': ) ('CodeID': GitNotFound) ('debug': False) ('distill_temp': 4) ('epoch': 160) ('experiments_dir': None) ('lr': 5e-06) ('mi': [60, 90, 120, 150]) ('momentum': 0.9) ('note': ) ('path': ./ckpt_sgd_vitl14_1.pth) ('project_name': vitl14_1) ('screen_print': False) ('tnet': ViT-L/14) ('weight_decay': 0.0005) 

[112552 60316 2022/05/12-11:25:52] ==> Caching various config files to 'Experiments/vitl14_1_SERVER-20220512-112552/.caches'
[112552 60316 2022/05/12-11:25:53] ==> Caching done (time: 0.27s)
[112552 60316 2022/05/12-11:25:58] Files already downloaded and verified
[112552 60316 2022/05/12-11:25:59] Files already downloaded and verified
[112552 60316 2022/05/12-11:26:00] Epoch	Loss	Accuracy
[112552 60316 2022/05/12-11:28:47] 0	0.51869	0.67930
[112552 60316 2022/05/12-11:31:32] 1	0.51614	0.68078
[112552 60316 2022/05/12-11:34:17] 2	0.51875	0.67862
[112552 60316 2022/05/12-11:37:03] 3	0.51993	0.68034
[112552 60316 2022/05/12-11:39:48] 4	0.51699	0.67938
[112552 60316 2022/05/12-11:42:34] 5	0.51646	0.67766
[112552 60316 2022/05/12-11:45:19] 6	0.51914	0.67988
[112552 60316 2022/05/12-11:48:04] 7	0.51733	0.68132
[112552 60316 2022/05/12-11:50:49] 8	0.51862	0.68236
[112552 60316 2022/05/12-11:53:35] 9	0.51511	0.67970
[112552 60316 2022/05/12-11:56:20] 10	0.51936	0.68016
[112552 60316 2022/05/12-11:59:05] 11	0.51854	0.67988
[112552 60316 2022/05/12-12:01:49] 12	0.51674	0.67828
[112552 60316 2022/05/12-12:04:34] 13	0.51678	0.68072
[112552 60316 2022/05/12-12:07:20] 14	0.51636	0.68156
[112552 60316 2022/05/12-12:10:05] 15	0.51663	0.67784
[112552 60316 2022/05/12-12:12:51] 16	0.51738	0.68192
[112552 60316 2022/05/12-12:15:37] 17	0.51797	0.67840
[112552 60316 2022/05/12-12:18:22] 18	0.51763	0.67986
[112552 60316 2022/05/12-12:21:07] 19	0.51774	0.67796
[112552 60316 2022/05/12-12:23:53] 20	0.51906	0.68068
[112552 60316 2022/05/12-12:26:38] 21	0.51668	0.67996
[112552 60316 2022/05/12-12:29:24] 22	0.51782	0.68264
[112552 60316 2022/05/12-12:32:09] 23	0.51727	0.68260
[112552 60316 2022/05/12-12:34:55] 24	0.51572	0.68174
[112552 60316 2022/05/12-12:37:41] 25	0.51812	0.67828
[112552 60316 2022/05/12-12:40:25] 26	0.51725	0.67736
[112552 60316 2022/05/12-12:43:11] 27	0.51753	0.68044
[112552 60316 2022/05/12-12:45:56] 28	0.51809	0.67726
[112552 60316 2022/05/12-12:48:42] 29	0.51744	0.68122
[112552 60316 2022/05/12-12:51:26] 30	0.51757	0.67994
[112552 60316 2022/05/12-12:54:11] 31	0.51720	0.68094
[112552 60316 2022/05/12-12:56:55] 32	0.51734	0.68134
[112552 60316 2022/05/12-12:59:40] 33	0.51758	0.68226
[112552 60316 2022/05/12-13:02:26] 34	0.51679	0.67954
[112552 60316 2022/05/12-13:05:11] 35	0.51688	0.68268
[112552 60316 2022/05/12-13:07:56] 36	0.51571	0.67994
[112552 60316 2022/05/12-13:10:40] 37	0.51699	0.68076
[112552 60316 2022/05/12-13:13:26] 38	0.51691	0.67544
[112552 60316 2022/05/12-13:16:10] 39	0.51490	0.68368
[112552 60316 2022/05/12-13:18:56] 40	0.51718	0.68110
[112552 60316 2022/05/12-13:21:41] 41	0.51532	0.67990
[112552 60316 2022/05/12-13:24:26] 42	0.51638	0.68124
[112552 60316 2022/05/12-13:27:11] 43	0.51639	0.68066
[112552 60316 2022/05/12-13:29:57] 44	0.51506	0.67962
[112552 60316 2022/05/12-13:32:43] 45	0.51536	0.67984
[112552 60316 2022/05/12-13:35:28] 46	0.51501	0.67978
[112552 60316 2022/05/12-13:38:12] 47	0.51356	0.68176
[112552 60316 2022/05/12-13:40:58] 48	0.51457	0.68174
[112552 60316 2022/05/12-13:43:43] 49	0.51459	0.68358
[112552 60316 2022/05/12-13:46:28] 50	0.51480	0.68168
[112552 60316 2022/05/12-13:49:13] 51	0.51171	0.68130
[112552 60316 2022/05/12-13:51:58] 52	0.51188	0.68502
[112552 60316 2022/05/12-13:54:43] 53	0.51149	0.68478
[112552 60316 2022/05/12-13:57:28] 54	0.50891	0.68260
[112552 60316 2022/05/12-14:00:13] 55	0.50935	0.68472
[112552 60316 2022/05/12-14:02:58] 56	0.50558	0.68480
[112552 60316 2022/05/12-14:05:43] 57	0.50429	0.68748
[112552 60316 2022/05/12-14:08:28] 58	0.50249	0.68496
[112552 60316 2022/05/12-14:11:11] 59	0.49819	0.69052
[112552 60316 2022/05/12-14:13:56] 60	0.51452	0.68022
[112552 60316 2022/05/12-14:16:41] 61	0.51332	0.68394
[112552 60316 2022/05/12-14:19:25] 62	0.51252	0.68460
[112552 60316 2022/05/12-14:22:10] 63	0.51186	0.68314
[112552 60316 2022/05/12-14:24:55] 64	0.51183	0.68302
[112552 60316 2022/05/12-14:27:40] 65	0.51188	0.68350
[112552 60316 2022/05/12-14:30:25] 66	0.51051	0.68352
[112552 60316 2022/05/12-14:33:11] 67	0.51163	0.68446
[112552 60316 2022/05/12-14:35:56] 68	0.50972	0.68520
[112552 60316 2022/05/12-14:38:41] 69	0.51105	0.68470
[112552 60316 2022/05/12-14:41:27] 70	0.50806	0.68536
[112552 60316 2022/05/12-14:44:12] 71	0.50892	0.68552
[112552 60316 2022/05/12-14:46:54] 72	0.50751	0.68632
[112552 60316 2022/05/12-14:49:40] 73	0.50535	0.68756
[112552 60316 2022/05/12-14:52:24] 74	0.50607	0.68530
[112552 60316 2022/05/12-14:55:08] 75	0.50534	0.68556
[112552 60316 2022/05/12-14:57:53] 76	0.50454	0.68910
[112552 60316 2022/05/12-15:00:39] 77	0.50395	0.68678
[112552 60316 2022/05/12-15:03:24] 78	0.50490	0.68724
[112552 60316 2022/05/12-15:06:09] 79	0.50234	0.68956
[112552 60316 2022/05/12-15:08:54] 80	0.50313	0.68788
[112552 60316 2022/05/12-15:11:39] 81	0.49974	0.68588
[112552 60316 2022/05/12-15:14:24] 82	0.49924	0.69038
[112552 60316 2022/05/12-15:17:10] 83	0.49877	0.69234
[112552 60316 2022/05/12-15:19:55] 84	0.49643	0.69272
[112552 60316 2022/05/12-15:22:40] 85	0.49700	0.69252
[112552 60316 2022/05/12-15:25:24] 86	0.49538	0.69216
[112552 60316 2022/05/12-15:28:08] 87	0.49295	0.69190
[112552 60316 2022/05/12-15:30:53] 88	0.49179	0.69580
[112552 60316 2022/05/12-15:33:38] 89	0.49012	0.69516
[112552 60316 2022/05/12-15:36:23] 90	0.51475	0.68446
[112552 60316 2022/05/12-15:39:08] 91	0.51240	0.68326
[112552 60316 2022/05/12-15:41:53] 92	0.51382	0.68210
[112552 60316 2022/05/12-15:44:38] 93	0.51438	0.68482
[112552 60316 2022/05/12-15:47:23] 94	0.51314	0.68360
[112552 60316 2022/05/12-15:50:09] 95	0.51535	0.68310
[112552 60316 2022/05/12-15:52:53] 96	0.51300	0.68180
[112552 60316 2022/05/12-15:55:37] 97	0.51257	0.68546
[112552 60316 2022/05/12-15:58:23] 98	0.51345	0.68330
[112552 60316 2022/05/12-16:01:08] 99	0.51327	0.68164
[112552 60316 2022/05/12-16:03:53] 100	0.51354	0.68078
[112552 60316 2022/05/12-16:06:39] 101	0.51326	0.68010
[112552 60316 2022/05/12-16:09:24] 102	0.51463	0.68162
[112552 60316 2022/05/12-16:12:10] 103	0.51279	0.68236
[112552 60316 2022/05/12-16:14:55] 104	0.51227	0.68340
[112552 60316 2022/05/12-16:17:40] 105	0.51333	0.68234
[112552 60316 2022/05/12-16:20:26] 106	0.51191	0.68222
[112552 60316 2022/05/12-16:23:11] 107	0.51436	0.67906
[112552 60316 2022/05/12-16:25:57] 108	0.51265	0.68530
[112552 60316 2022/05/12-16:28:42] 109	0.51311	0.68326
[112552 60316 2022/05/12-16:31:27] 110	0.51336	0.68324
[112552 60316 2022/05/12-16:34:12] 111	0.51282	0.68220
[112552 60316 2022/05/12-16:36:57] 112	0.51252	0.68526
[112552 60316 2022/05/12-16:39:43] 113	0.51301	0.68182
[112552 60316 2022/05/12-16:42:28] 114	0.51431	0.68064
[112552 60316 2022/05/12-16:45:13] 115	0.51087	0.68664
[112552 60316 2022/05/12-16:47:58] 116	0.51191	0.68190
[112552 60316 2022/05/12-16:50:43] 117	0.51279	0.68486
[112552 60316 2022/05/12-16:53:28] 118	0.51082	0.68462
[112552 60316 2022/05/12-16:56:13] 119	0.51063	0.68294
[112552 60316 2022/05/12-16:58:58] 120	0.51744	0.68418
[112552 60316 2022/05/12-17:01:43] 121	0.51680	0.67928
[112552 60316 2022/05/12-17:04:27] 122	0.51635	0.67972
[112552 60316 2022/05/12-17:07:12] 123	0.51659	0.68184
