cd /home/wu.qife/CLIP/Experiments
CUDA_VISIBLE_DEVICES=0 python distill_train.py -a 0.1 -t 30 -e 160 --teacher ViT-L/14 --mi 60 90 120 150 --project_name vitl14_5

[141411 41931 2022/05/16-14:14:11] Warning! Git not found under this project. Highly recommended to use Git to manage code.
('alpha': 0.1) ('batch_size': 256) ('cache_ignore': ) ('CodeID': GitNotFound) ('debug': False) ('distill_temp': 30) ('epoch': 160) ('experiments_dir': None) ('lr': 0.1) ('mi': [60, 90, 120, 150]) ('momentum': 0.9) ('note': ) ('path': None) ('project_name': vitl14_5) ('screen_print': False) ('tnet': ViT-L/14) ('weight_decay': 0.0005) 

[141411 41931 2022/05/16-14:14:11] ==> Caching various config files to 'Experiments/vitl14_5_SERVER-20220516-141411/.caches'
[141411 41931 2022/05/16-14:14:11] ==> Caching done (time: 0.01s)
[141411 41931 2022/05/16-14:14:20] Files already downloaded and verified
[141411 41931 2022/05/16-14:14:21] Files already downloaded and verified
[141411 41931 2022/05/16-14:14:22] Epoch	Loss	Accuracy
[141411 41931 2022/05/16-14:17:07] 0	1.31491	0.05980
[141411 41931 2022/05/16-14:19:51] 1	1.18107	0.09854
[141411 41931 2022/05/16-14:22:37] 2	1.09877	0.13788
[141411 41931 2022/05/16-14:25:21] 3	1.03976	0.17172
[141411 41931 2022/05/16-14:28:04] 4	0.98811	0.20708
[141411 41931 2022/05/16-14:30:49] 5	0.94687	0.23742
[141411 41931 2022/05/16-14:33:34] 6	0.91538	0.26514
[141411 41931 2022/05/16-14:36:18] 7	0.88783	0.28562
[141411 41931 2022/05/16-14:39:01] 8	0.86760	0.30874
[141411 41931 2022/05/16-14:41:46] 9	0.83914	0.32850
[141411 41931 2022/05/16-14:44:30] 10	0.82493	0.34432
[141411 41931 2022/05/16-14:47:14] 11	0.80780	0.36014
[141411 41931 2022/05/16-14:49:59] 12	0.79017	0.37286
[141411 41931 2022/05/16-14:52:42] 13	0.77524	0.38910
[141411 41931 2022/05/16-14:55:27] 14	0.76418	0.40050
[141411 41931 2022/05/16-14:58:12] 15	0.74969	0.41312
[141411 41931 2022/05/16-15:00:57] 16	0.74269	0.42680
[141411 41931 2022/05/16-15:03:41] 17	0.73553	0.43270
[141411 41931 2022/05/16-15:06:25] 18	0.72805	0.43826
[141411 41931 2022/05/16-15:09:09] 19	0.72306	0.44578
[141411 41931 2022/05/16-15:11:53] 20	0.71504	0.45264
[141411 41931 2022/05/16-15:14:38] 21	0.71034	0.45906
[141411 41931 2022/05/16-15:17:23] 22	0.70515	0.46990
[141411 41931 2022/05/16-15:20:07] 23	0.70210	0.47116
[141411 41931 2022/05/16-15:22:52] 24	0.69266	0.47784
[141411 41931 2022/05/16-15:25:38] 25	0.69430	0.48214
[141411 41931 2022/05/16-15:28:22] 26	0.68994	0.48342
[141411 41931 2022/05/16-15:31:05] 27	0.68481	0.48848
[141411 41931 2022/05/16-15:33:51] 28	0.68199	0.49360
[141411 41931 2022/05/16-15:36:35] 29	0.67847	0.49876
[141411 41931 2022/05/16-15:39:19] 30	0.67450	0.50372
[141411 41931 2022/05/16-15:42:04] 31	0.67749	0.50332
[141411 41931 2022/05/16-15:44:47] 32	0.67219	0.50346
[141411 41931 2022/05/16-15:47:31] 33	0.66734	0.50942
[141411 41931 2022/05/16-15:50:14] 34	0.66538	0.51126
[141411 41931 2022/05/16-15:52:58] 35	0.66356	0.51786
[141411 41931 2022/05/16-15:55:43] 36	0.66081	0.51304
[141411 41931 2022/05/16-15:58:28] 37	0.66040	0.51750
[141411 41931 2022/05/16-16:01:14] 38	0.65995	0.51814
[141411 41931 2022/05/16-16:03:58] 39	0.65173	0.52626
[141411 41931 2022/05/16-16:06:43] 40	0.65514	0.52460
[141411 41931 2022/05/16-16:09:28] 41	0.65068	0.52616
[141411 41931 2022/05/16-16:12:13] 42	0.65458	0.52786
[141411 41931 2022/05/16-16:14:58] 43	0.64988	0.53222
[141411 41931 2022/05/16-16:17:45] 44	0.64864	0.52898
[141411 41931 2022/05/16-16:20:30] 45	0.64678	0.53380
[141411 41931 2022/05/16-16:23:14] 46	0.64707	0.53336
[141411 41931 2022/05/16-16:25:58] 47	0.64489	0.53386
[141411 41931 2022/05/16-16:28:44] 48	0.64627	0.53506
[141411 41931 2022/05/16-16:31:28] 49	0.64623	0.53564
[141411 41931 2022/05/16-16:34:13] 50	0.64370	0.54080
[141411 41931 2022/05/16-16:36:57] 51	0.64289	0.53360
[141411 41931 2022/05/16-16:39:41] 52	0.64131	0.54002
[141411 41931 2022/05/16-16:42:25] 53	0.63900	0.54400
[141411 41931 2022/05/16-16:45:09] 54	0.63579	0.54356
[141411 41931 2022/05/16-16:47:54] 55	0.64192	0.54034
[141411 41931 2022/05/16-16:50:38] 56	0.63573	0.54258
[141411 41931 2022/05/16-16:53:22] 57	0.63853	0.54428
[141411 41931 2022/05/16-16:56:06] 58	0.63755	0.54320
[141411 41931 2022/05/16-16:58:51] 59	0.63674	0.54558
[141411 41931 2022/05/16-17:01:35] 60	0.56823	0.60650
[141411 41931 2022/05/16-17:04:20] 61	0.54325	0.63486
[141411 41931 2022/05/16-17:07:06] 62	0.53539	0.64622
[141411 41931 2022/05/16-17:09:50] 63	0.52911	0.64952
[141411 41931 2022/05/16-17:12:34] 64	0.52415	0.65572
[141411 41931 2022/05/16-17:15:19] 65	0.52046	0.66038
[141411 41931 2022/05/16-17:18:04] 66	0.51627	0.66530
[141411 41931 2022/05/16-17:20:58] 67	0.51379	0.67110
[141411 41931 2022/05/16-17:23:43] 68	0.51106	0.67184
[141411 41931 2022/05/16-17:26:27] 69	0.50964	0.67470
[141411 41931 2022/05/16-17:29:17] 70	0.50594	0.67726
[141411 41931 2022/05/16-17:32:10] 71	0.50439	0.68156
[141411 41931 2022/05/16-17:35:01] 72	0.50214	0.68254
[141411 41931 2022/05/16-17:37:46] 73	0.49861	0.68648
[141411 41931 2022/05/16-17:40:39] 74	0.49856	0.68730
[141411 41931 2022/05/16-17:43:26] 75	0.49654	0.68924
[141411 41931 2022/05/16-17:46:12] 76	0.49423	0.69420
[141411 41931 2022/05/16-17:49:02] 77	0.49256	0.69386
[141411 41931 2022/05/16-17:51:56] 78	0.49352	0.69466
[141411 41931 2022/05/16-17:54:41] 79	0.49049	0.69874
[141411 41931 2022/05/16-17:57:25] 80	0.49018	0.69712
[141411 41931 2022/05/16-18:00:12] 81	0.48704	0.70060
[141411 41931 2022/05/16-18:03:02] 82	0.48559	0.70396
[141411 41931 2022/05/16-18:05:48] 83	0.48490	0.70378
[141411 41931 2022/05/16-18:08:37] 84	0.48350	0.70816
[141411 41931 2022/05/16-18:11:27] 85	0.48421	0.70880
[141411 41931 2022/05/16-18:14:17] 86	0.48278	0.70908
[141411 41931 2022/05/16-18:17:10] 87	0.48118	0.70904
[141411 41931 2022/05/16-18:20:02] 88	0.48056	0.71284
[141411 41931 2022/05/16-18:22:47] 89	0.47963	0.71456
[141411 41931 2022/05/16-18:25:32] 90	0.46926	0.72636
[141411 41931 2022/05/16-18:28:21] 91	0.46509	0.72834
[141411 41931 2022/05/16-18:31:05] 92	0.46401	0.73158
[141411 41931 2022/05/16-18:33:53] 93	0.46302	0.73196
[141411 41931 2022/05/16-18:36:37] 94	0.46151	0.73406
[141411 41931 2022/05/16-18:39:21] 95	0.46221	0.73388
[141411 41931 2022/05/16-18:42:07] 96	0.46033	0.73512
[141411 41931 2022/05/16-18:44:51] 97	0.45935	0.73834
[141411 41931 2022/05/16-18:47:35] 98	0.45982	0.73530
[141411 41931 2022/05/16-18:50:20] 99	0.45985	0.73506
[141411 41931 2022/05/16-18:53:03] 100	0.45839	0.73522
[141411 41931 2022/05/16-18:55:47] 101	0.45839	0.73736
[141411 41931 2022/05/16-18:58:31] 102	0.45882	0.73700
[141411 41931 2022/05/16-19:01:16] 103	0.45816	0.73816
[141411 41931 2022/05/16-19:04:00] 104	0.45684	0.73946
[141411 41931 2022/05/16-19:06:46] 105	0.45727	0.73764
[141411 41931 2022/05/16-19:09:33] 106	0.45572	0.73812
[141411 41931 2022/05/16-19:12:18] 107	0.45728	0.73770
[141411 41931 2022/05/16-19:15:02] 108	0.45549	0.74030
[141411 41931 2022/05/16-19:17:47] 109	0.45663	0.74066
[141411 41931 2022/05/16-19:20:33] 110	0.45608	0.74204
[141411 41931 2022/05/16-19:23:18] 111	0.45603	0.73862
[141411 41931 2022/05/16-19:26:01] 112	0.45522	0.74214
[141411 41931 2022/05/16-19:28:46] 113	0.45524	0.74346
[141411 41931 2022/05/16-19:31:31] 114	0.45602	0.74016
[141411 41931 2022/05/16-19:34:15] 115	0.45328	0.74520
[141411 41931 2022/05/16-19:37:00] 116	0.45459	0.73982
[141411 41931 2022/05/16-19:39:45] 117	0.45497	0.74176
[141411 41931 2022/05/16-19:42:29] 118	0.45322	0.74500
