cd /home/wu.qife/CLIP/Experiments
CUDA_VISIBLE_DEVICES=0 python rn18_scratch.py -p ./ckpt_rn18.pth -e 210 --lr 0.01

[161658 74953 2022/05/09-16:16:58] Warning! Git not found under this project. Highly recommended to use Git to manage code.
('batch_size': 256) ('cache_ignore': ) ('CodeID': GitNotFound) ('debug': False) ('epoch': 210) ('experiments_dir': None) ('lr': 0.01) ('momentum': 0.9) ('note': ) ('path': ./ckpt_rn18.pth) ('project_name': ) ('screen_print': False) ('weight_decay': 0.0005) 

[161658 74953 2022/05/09-16:16:59] ==> Caching various config files to 'Experiments/_SERVER-20220509-161658/.caches'
[161658 74953 2022/05/09-16:16:59] ==> Caching done (time: 0.01s)
[161658 74953 2022/05/09-16:17:00] Files already downloaded and verified
[161658 74953 2022/05/09-16:17:17] Epoch	Loss	Accuracy
[161658 74953 2022/05/09-16:18:22] 0	1.56510	0.58034
[161658 74953 2022/05/09-16:19:26] 1	1.54896	0.58398
[161658 74953 2022/05/09-16:20:29] 2	1.52263	0.59082
[161658 74953 2022/05/09-16:21:33] 3	1.53001	0.58880
[161658 74953 2022/05/09-16:22:36] 4	1.52085	0.59054
[161658 74953 2022/05/09-16:23:40] 5	1.51045	0.59326
[161658 74953 2022/05/09-16:24:43] 6	1.50126	0.59518
[161658 74953 2022/05/09-16:25:46] 7	1.50241	0.59370
[161658 74953 2022/05/09-16:26:49] 8	1.49470	0.59546
[161658 74953 2022/05/09-16:27:52] 9	1.48992	0.59722
[161658 74953 2022/05/09-16:28:55] 10	1.49405	0.59606
[161658 74953 2022/05/09-16:29:58] 11	1.48890	0.60174
[161658 74953 2022/05/09-16:31:01] 12	1.48647	0.59962
[161658 74953 2022/05/09-16:32:05] 13	1.47152	0.60508
[161658 74953 2022/05/09-16:33:08] 14	1.46234	0.60490
[161658 74953 2022/05/09-16:34:11] 15	1.46297	0.60554
[161658 74953 2022/05/09-16:35:14] 16	1.45473	0.60954
[161658 74953 2022/05/09-16:36:17] 17	1.44261	0.61134
[161658 74953 2022/05/09-16:37:20] 18	1.44478	0.61178
[161658 74953 2022/05/09-16:38:23] 19	1.44663	0.61138
[161658 74953 2022/05/09-16:39:27] 20	1.43902	0.61170
[161658 74953 2022/05/09-16:40:30] 21	1.44452	0.61086
[161658 74953 2022/05/09-16:41:33] 22	1.42591	0.61458
[161658 74953 2022/05/09-16:42:37] 23	1.41752	0.61676
[161658 74953 2022/05/09-16:43:40] 24	1.42267	0.61454
[161658 74953 2022/05/09-16:44:44] 25	1.41980	0.61608
[161658 74953 2022/05/09-16:45:47] 26	1.42563	0.61420
[161658 74953 2022/05/09-16:46:51] 27	1.42211	0.61560
[161658 74953 2022/05/09-16:47:54] 28	1.41686	0.61646
[161658 74953 2022/05/09-16:48:57] 29	1.42483	0.61582
[161658 74953 2022/05/09-16:50:02] 30	1.40722	0.62204
[161658 74953 2022/05/09-16:51:06] 31	1.41698	0.61928
[161658 74953 2022/05/09-16:52:10] 32	1.40924	0.62028
[161658 74953 2022/05/09-16:53:14] 33	1.41793	0.61928
[161658 74953 2022/05/09-16:54:18] 34	1.40317	0.62022
[161658 74953 2022/05/09-16:55:22] 35	1.40732	0.62024
[161658 74953 2022/05/09-16:56:27] 36	1.39712	0.62230
[161658 74953 2022/05/09-16:57:31] 37	1.40830	0.62104
[161658 74953 2022/05/09-16:58:35] 38	1.39848	0.62238
[161658 74953 2022/05/09-16:59:38] 39	1.39539	0.62416
[161658 74953 2022/05/09-17:00:42] 40	1.39626	0.62304
[161658 74953 2022/05/09-17:01:46] 41	1.39204	0.62456
[161658 74953 2022/05/09-17:02:50] 42	1.38769	0.62442
[161658 74953 2022/05/09-17:03:54] 43	1.39264	0.62484
[161658 74953 2022/05/09-17:04:58] 44	1.39562	0.62362
[161658 74953 2022/05/09-17:06:02] 45	1.38111	0.62852
[161658 74953 2022/05/09-17:07:06] 46	1.38924	0.62276
[161658 74953 2022/05/09-17:08:10] 47	1.38950	0.62648
[161658 74953 2022/05/09-17:09:14] 48	1.39312	0.62570
[161658 74953 2022/05/09-17:10:18] 49	1.37992	0.62902
[161658 74953 2022/05/09-17:11:22] 50	1.36441	0.63136
[161658 74953 2022/05/09-17:12:26] 51	1.39761	0.62354
[161658 74953 2022/05/09-17:13:30] 52	1.37446	0.62774
[161658 74953 2022/05/09-17:14:34] 53	1.37455	0.63212
[161658 74953 2022/05/09-17:15:38] 54	1.37174	0.62978
[161658 74953 2022/05/09-17:16:41] 55	1.38497	0.62896
[161658 74953 2022/05/09-17:17:45] 56	1.37995	0.62902
[161658 74953 2022/05/09-17:18:49] 57	1.37041	0.63174
[161658 74953 2022/05/09-17:19:53] 58	1.38392	0.62598
[161658 74953 2022/05/09-17:20:57] 59	1.37012	0.63054
[161658 74953 2022/05/09-17:22:01] 60	1.05444	0.71812
[161658 74953 2022/05/09-17:23:05] 61	0.91623	0.75354
[161658 74953 2022/05/09-17:24:09] 62	0.88406	0.76380
[161658 74953 2022/05/09-17:25:13] 63	0.84902	0.77296
[161658 74953 2022/05/09-17:26:17] 64	0.82123	0.78094
[161658 74953 2022/05/09-17:27:21] 65	0.79624	0.78876
[161658 74953 2022/05/09-17:28:25] 66	0.77829	0.79326
[161658 74953 2022/05/09-17:29:28] 67	0.75070	0.80038
[161658 74953 2022/05/09-17:30:32] 68	0.73693	0.80382
[161658 74953 2022/05/09-17:31:36] 69	0.72405	0.80820
[161658 74953 2022/05/09-17:32:40] 70	0.72610	0.80750
[161658 74953 2022/05/09-17:33:44] 71	0.71267	0.81208
[161658 74953 2022/05/09-17:34:48] 72	0.69153	0.81660
[161658 74953 2022/05/09-17:35:52] 73	0.68666	0.81930
[161658 74953 2022/05/09-17:36:56] 74	0.67975	0.82156
[161658 74953 2022/05/09-17:38:00] 75	0.66888	0.82496
[161658 74953 2022/05/09-17:39:03] 76	0.66678	0.82352
[161658 74953 2022/05/09-17:40:07] 77	0.65792	0.82674
[161658 74953 2022/05/09-17:41:11] 78	0.65517	0.82770
[161658 74953 2022/05/09-17:42:15] 79	0.64515	0.83118
[161658 74953 2022/05/09-17:43:19] 80	0.62611	0.83582
[161658 74953 2022/05/09-17:44:23] 81	0.62997	0.83336
[161658 74953 2022/05/09-17:45:27] 82	0.62049	0.83672
[161658 74953 2022/05/09-17:46:31] 83	0.61912	0.83780
[161658 74953 2022/05/09-17:47:35] 84	0.62151	0.83800
[161658 74953 2022/05/09-17:48:39] 85	0.61299	0.84010
[161658 74953 2022/05/09-17:49:42] 86	0.61386	0.83956
[161658 74953 2022/05/09-17:50:46] 87	0.60643	0.84276
[161658 74953 2022/05/09-17:51:50] 88	0.60139	0.84380
[161658 74953 2022/05/09-17:52:54] 89	0.59942	0.84282
[161658 74953 2022/05/09-17:53:58] 90	0.59113	0.84622
[161658 74953 2022/05/09-17:55:02] 91	0.59308	0.84546
[161658 74953 2022/05/09-17:56:06] 92	0.58921	0.84794
[161658 74953 2022/05/09-17:57:10] 93	0.58595	0.84788
[161658 74953 2022/05/09-17:58:14] 94	0.58825	0.84472
[161658 74953 2022/05/09-17:59:17] 95	0.58847	0.84702
[161658 74953 2022/05/09-18:00:22] 96	0.57681	0.85060
[161658 74953 2022/05/09-18:01:26] 97	0.57924	0.85090
[161658 74953 2022/05/09-18:02:30] 98	0.58242	0.85034
[161658 74953 2022/05/09-18:03:33] 99	0.58054	0.85058
[161658 74953 2022/05/09-18:04:38] 100	0.57788	0.84948
[161658 74953 2022/05/09-18:05:41] 101	0.57878	0.84900
[161658 74953 2022/05/09-18:06:45] 102	0.57487	0.85002
[161658 74953 2022/05/09-18:07:49] 103	0.57705	0.85180
[161658 74953 2022/05/09-18:08:53] 104	0.57730	0.85048
[161658 74953 2022/05/09-18:09:57] 105	0.56841	0.85184
[161658 74953 2022/05/09-18:11:00] 106	0.57388	0.85290
[161658 74953 2022/05/09-18:12:04] 107	0.57601	0.85104
[161658 74953 2022/05/09-18:13:08] 108	0.55717	0.85552
[161658 74953 2022/05/09-18:14:12] 109	0.56601	0.85286
[161658 74953 2022/05/09-18:15:16] 110	0.56968	0.85212
[161658 74953 2022/05/09-18:16:20] 111	0.55911	0.85666
[161658 74953 2022/05/09-18:17:24] 112	0.56935	0.85260
[161658 74953 2022/05/09-18:18:28] 113	0.56116	0.85486
[161658 74953 2022/05/09-18:19:32] 114	0.56640	0.85438
[161658 74953 2022/05/09-18:20:35] 115	0.56695	0.85432
[161658 74953 2022/05/09-18:21:39] 116	0.56804	0.85400
[161658 74953 2022/05/09-18:22:43] 117	0.55993	0.85384
[161658 74953 2022/05/09-18:23:47] 118	0.55957	0.85650
[161658 74953 2022/05/09-18:24:51] 119	0.55958	0.85738
[161658 74953 2022/05/09-18:25:55] 120	0.49603	0.87340
[161658 74953 2022/05/09-18:26:58] 121	0.45526	0.88408
[161658 74953 2022/05/09-18:28:02] 122	0.45616	0.88528
[161658 74953 2022/05/09-18:29:06] 123	0.43108	0.89162
[161658 74953 2022/05/09-18:30:10] 124	0.44034	0.89062
[161658 74953 2022/05/09-18:31:14] 125	0.41773	0.89548
[161658 74953 2022/05/09-18:32:18] 126	0.42604	0.89268
[161658 74953 2022/05/09-18:33:22] 127	0.41943	0.89336
[161658 74953 2022/05/09-18:34:25] 128	0.42016	0.89480
[161658 74953 2022/05/09-18:35:29] 129	0.41173	0.89642
[161658 74953 2022/05/09-18:36:33] 130	0.40469	0.89972
[161658 74953 2022/05/09-18:37:37] 131	0.40974	0.89768
[161658 74953 2022/05/09-18:38:41] 132	0.41038	0.89820
[161658 74953 2022/05/09-18:39:45] 133	0.41633	0.89578
[161658 74953 2022/05/09-18:40:49] 134	0.40249	0.89932
[161658 74953 2022/05/09-18:41:53] 135	0.40177	0.90034
[161658 74953 2022/05/09-18:42:57] 136	0.39897	0.90114
[161658 74953 2022/05/09-18:44:01] 137	0.40707	0.89672
[161658 74953 2022/05/09-18:45:04] 138	0.39823	0.90026
[161658 74953 2022/05/09-18:46:08] 139	0.40213	0.89836
[161658 74953 2022/05/09-18:47:12] 140	0.39553	0.90146
[161658 74953 2022/05/09-18:48:16] 141	0.39574	0.90118
[161658 74953 2022/05/09-18:49:20] 142	0.38991	0.90216
[161658 74953 2022/05/09-18:50:24] 143	0.39167	0.90092
[161658 74953 2022/05/09-18:51:28] 144	0.39692	0.90018
[161658 74953 2022/05/09-18:52:32] 145	0.38851	0.90284
[161658 74953 2022/05/09-18:53:36] 146	0.39280	0.90270
[161658 74953 2022/05/09-18:54:40] 147	0.38982	0.90180
[161658 74953 2022/05/09-18:55:44] 148	0.38286	0.90442
[161658 74953 2022/05/09-18:56:48] 149	0.38647	0.90368
[161658 74953 2022/05/09-18:57:53] 150	0.38840	0.90372
[161658 74953 2022/05/09-18:58:57] 151	0.38333	0.90372
[161658 74953 2022/05/09-19:00:01] 152	0.37737	0.90570
[161658 74953 2022/05/09-19:01:05] 153	0.38253	0.90520
[161658 74953 2022/05/09-19:02:09] 154	0.38154	0.90570
[161658 74953 2022/05/09-19:03:13] 155	0.37822	0.90424
[161658 74953 2022/05/09-19:04:17] 156	0.38256	0.90524
[161658 74953 2022/05/09-19:05:22] 157	0.37644	0.90558
[161658 74953 2022/05/09-19:06:26] 158	0.37414	0.90664
[161658 74953 2022/05/09-19:07:30] 159	0.37342	0.90582
[161658 74953 2022/05/09-19:08:35] 160	0.37780	0.90612
[161658 74953 2022/05/09-19:09:39] 161	0.37910	0.90384
[161658 74953 2022/05/09-19:10:43] 162	0.36933	0.90764
[161658 74953 2022/05/09-19:11:47] 163	0.38245	0.90482
[161658 74953 2022/05/09-19:12:52] 164	0.36849	0.90822
[161658 74953 2022/05/09-19:13:56] 165	0.37280	0.90866
[161658 74953 2022/05/09-19:15:00] 166	0.37563	0.90578
[161658 74953 2022/05/09-19:16:05] 167	0.36796	0.90764
[161658 74953 2022/05/09-19:17:09] 168	0.37226	0.90760
[161658 74953 2022/05/09-19:18:13] 169	0.37270	0.90702
[161658 74953 2022/05/09-19:19:17] 170	0.37428	0.90602
[161658 74953 2022/05/09-19:20:21] 171	0.36294	0.90908
[161658 74953 2022/05/09-19:21:25] 172	0.36500	0.90908
[161658 74953 2022/05/09-19:22:30] 173	0.36537	0.91052
[161658 74953 2022/05/09-19:23:33] 174	0.36833	0.90814
[161658 74953 2022/05/09-19:24:37] 175	0.36680	0.90756
[161658 74953 2022/05/09-19:25:41] 176	0.36070	0.90912
[161658 74953 2022/05/09-19:26:45] 177	0.36723	0.90828
[161658 74953 2022/05/09-19:27:49] 178	0.36270	0.90842
[161658 74953 2022/05/09-19:28:53] 179	0.36669	0.90852
[161658 74953 2022/05/09-19:29:57] 180	0.36273	0.90936
[161658 74953 2022/05/09-19:31:01] 181	0.34927	0.91380
[161658 74953 2022/05/09-19:32:05] 182	0.35381	0.91106
[161658 74953 2022/05/09-19:33:09] 183	0.34917	0.91290
[161658 74953 2022/05/09-19:34:12] 184	0.35390	0.91234
[161658 74953 2022/05/09-19:35:16] 185	0.35818	0.91158
[161658 74953 2022/05/09-19:36:20] 186	0.35500	0.91072
[161658 74953 2022/05/09-19:37:24] 187	0.35279	0.91228
[161658 74953 2022/05/09-19:38:28] 188	0.34495	0.91350
[161658 74953 2022/05/09-19:39:32] 189	0.34641	0.91438
[161658 74953 2022/05/09-19:40:36] 190	0.35423	0.91202
[161658 74953 2022/05/09-19:41:40] 191	0.34897	0.91204
[161658 74953 2022/05/09-19:42:44] 192	0.35037	0.91246
[161658 74953 2022/05/09-19:43:47] 193	0.34909	0.91360
[161658 74953 2022/05/09-19:44:51] 194	0.34934	0.91336
[161658 74953 2022/05/09-19:45:55] 195	0.34818	0.91270
[161658 74953 2022/05/09-19:46:59] 196	0.35058	0.91306
[161658 74953 2022/05/09-19:48:03] 197	0.35379	0.91214
[161658 74953 2022/05/09-19:49:07] 198	0.34441	0.91450
[161658 74953 2022/05/09-19:50:11] 199	0.34813	0.91170
[161658 74953 2022/05/09-19:51:14] 200	0.34769	0.91348
[161658 74953 2022/05/09-19:52:18] 201	0.35287	0.91174
[161658 74953 2022/05/09-19:53:22] 202	0.34218	0.91494
[161658 74953 2022/05/09-19:54:25] 203	0.34233	0.91444
[161658 74953 2022/05/09-19:55:29] 204	0.35255	0.91262
[161658 74953 2022/05/09-19:56:33] 205	0.33678	0.91708
[161658 74953 2022/05/09-19:57:37] 206	0.35041	0.91142
[161658 74953 2022/05/09-19:58:41] 207	0.34602	0.91392
[161658 74953 2022/05/09-19:59:45] 208	0.33765	0.91558
[161658 74953 2022/05/09-20:00:49] 209	0.34365	0.91348
